Species,Litter_substrate,microsite,Month,nitrogen,carbon,C_N,Ash_free_remaining
Arthraerua leubnitziae ,Shrub,Vegetated,14,0.483443102,17.46530357,36.12690613,58.83333333
Salsola nollothensis,Shrub,Unvegetated,4,0.472552611,18.70411478,39.58102091,69.65523216
Salsola nollothensis,Shrub,Unvegetated,8,0.49270265,18.43978444,37.42578701,54.74919364
Arthraerua leubnitziae ,Shrub,Unvegetated,8,0.470869057,15.40016753,32.70583892,69.73693694
Arthraerua leubnitziae ,Shrub,Unvegetated,8,0.568515199,17.40971255,30.62312598,63.61313236
Ectadium rotundifolium ,Shrub,Vegetated,4,0.342971551,13.05380023,38.06088344,47.18218218
Salsola nollothensis,Shrub,Unvegetated,4,0.441669914,13.28656485,30.08256715,30.35135135
Arthraerua leubnitziae ,Shrub,Vegetated,14,0.687731878,19.04390122,27.69088043,59.65532841
Arthraerua leubnitziae ,Shrub,Unvegetated,4,0.50995908,23.94854731,46.96170387,83.10862946
Arthraerua leubnitziae ,Shrub,Vegetated,4,0.382745518,14.26853413,37.27942836,46.13613614
Arthraerua leubnitziae ,Shrub,Vegetated,8,0.333133281,15.19714851,45.61882394,57.9987988
Arthraerua leubnitziae ,Shrub,Vegetated,8,NA,NA,NA,NA
Arthraerua leubnitziae ,Shrub,Unvegetated,14,0.462977397,17.33352842,37.43925415,80.67423192
Salsola nollothensis,Shrub,Vegetated,4,0.61639127,19.8178072,32.15134307,66.2982983
Arthraerua leubnitziae ,Shrub,Vegetated,8,0.589454404,15.37588221,26.08493908,49.1041041
Arthraerua leubnitziae ,Shrub,Unvegetated,8,0.530687841,16.18806227,30.50392533,66.55655656
Ectadium rotundifolium ,Shrub,Unvegetated,4,0.462346064,16.22113607,35.08440394,52.48558559
Ectadium rotundifolium ,Shrub,Unvegetated,8,0.41683749,11.19443935,26.85564425,52.96336336
Ectadium rotundifolium ,Shrub,Unvegetated,8,0.510643024,15.16423073,29.69634365,52.94094094
Arthraerua leubnitziae ,Shrub,Unvegetated,8,0.373854248,17.03940046,45.57765643,56.25085085
Arthraerua leubnitziae ,Shrub,Vegetated,14,0.567147311,19.42102568,34.24335318,78.93393393
Salsola nollothensis,Shrub,Vegetated,4,0.466923227,16.51599207,35.37196506,76.48648649
Salsola nollothensis,Shrub,Vegetated,8,0.550785269,20.25811509,36.78042285,67.6544814
Arthraerua leubnitziae ,Shrub,Vegetated,4,0.288834762,12.920673,44.73378793,68.46846847
Salsola nollothensis,Shrub,Vegetated,4,0.436619252,16.33954649,37.42287228,74.65098432
Arthraerua leubnitziae ,Shrub,Vegetated,14,0.255321512,9.060191555,35.48542182,78.36636637
Ectadium rotundifolium ,Shrub,Unvegetated,4,0.263160561,10.69058401,40.62380762,58.8028028
Arthraerua leubnitziae ,Shrub,Vegetated,4,0.482759158,17.82641116,36.92609629,55.60960961
Ectadium rotundifolium ,Shrub,Unvegetated,8,0.519166017,19.48238901,37.52631791,72.03453453
Ectadium rotundifolium ,Shrub,Unvegetated,4,0.445931411,14.3177288,32.10746867,86.06206206
Arthraerua leubnitziae ,Shrub,Vegetated,14,0.380863331,15.80477005,41.49722163,50.28490028
Arthraerua leubnitziae ,Shrub,Vegetated,8,0.538940347,18.70825616,34.7130369,77.92832833
Salsola nollothensis,Shrub,Vegetated,4,0.479851341,18.24561137,38.02346647,92.35485485
Arthraerua leubnitziae ,Shrub,Vegetated,4,0.684612217,18.7306899,27.35956128,48.997998
Salsola nollothensis,Shrub,Unvegetated,8,0.33260984,14.94387548,44.92914418,51.20527935
Salsola nollothensis,Shrub,Unvegetated,8,0.591193865,22.38065853,37.85671651,62.79048279
Salsola nollothensis,Shrub,Unvegetated,8,0.580307715,16.25313883,28.0077938,50.88338338
Arthraerua leubnitziae ,Shrub,Vegetated,8,0.515750317,18.34997922,35.57919133,68.66386386
Arthraerua leubnitziae ,Shrub,Vegetated,8,0.540965677,19.25676097,35.59701064,55.3785035
Salsola nollothensis,Shrub,Unvegetated,8,0.393622911,12.507164,31.77448178,47.14584585
Arthraerua leubnitziae ,Shrub,Unvegetated,8,0.533775755,13.88811333,26.01862896,76.6036036
Arthraerua leubnitziae ,Shrub,Vegetated,8,0.369470849,11.34825766,30.7148932,52.19219219
Arthraerua leubnitziae ,Shrub,Unvegetated,8,0.413774945,13.9021854,33.59842242,69.58298298
Ectadium rotundifolium ,Shrub,Vegetated,8,0.432357349,18.37873519,42.50820582,61.65242165
Salsola nollothensis,Shrub,Vegetated,4,0.315647701,12.24377156,38.78935769,73.99363649
Arthraerua leubnitziae ,Shrub,Vegetated,14,0.379901299,17.4133708,45.83656557,61.66589667
Salsola nollothensis,Shrub,Vegetated,8,0.510940158,17.98971384,35.20904267,48.90990991
Ectadium rotundifolium ,Shrub,Unvegetated,4,0.511142018,19.02327716,37.21720481,52.07457457
Ectadium rotundifolium ,Shrub,Unvegetated,8,0.314711214,13.82285093,43.92233361,64.26186186
Ectadium rotundifolium ,Shrub,Vegetated,14,0.370218152,14.0261582,37.88619793,79.98971193
Salsola nollothensis,Shrub,Vegetated,8,0.357232154,11.95983099,33.47915593,80.5954031
Salsola nollothensis,Shrub,Unvegetated,4,0.493702338,18.2511182,36.96785857,50.91445612
Arthraerua leubnitziae ,Shrub,Vegetated,8,0.471340168,19.46702848,41.30144176,56.25085085
Ectadium rotundifolium ,Shrub,Vegetated,4,0.439039255,16.96154735,38.63332757,43.91805267
Salsola nollothensis,Shrub,Vegetated,8,0.428069134,18.53641244,43.30238036,42.48548549
Arthraerua leubnitziae ,Shrub,Unvegetated,4,0.755063133,27.1043324,35.89677634,62.26146146
Ectadium rotundifolium ,Shrub,Unvegetated,14,NA,NA,NA,NA
Arthraerua leubnitziae ,Shrub,Unvegetated,14,0.357888486,13.6099402,38.02843827,89.29329329
Ectadium rotundifolium ,Shrub,Vegetated,4,0.318930491,13.98488376,43.84931556,57.64206514
Ectadium rotundifolium ,Shrub,Vegetated,4,0.436788974,19.38790211,44.38734326,75.92860718
Ectadium rotundifolium ,Shrub,Vegetated,4,0.330885111,13.37102862,40.40988304,52.54264264
Salsola nollothensis,Shrub,Unvegetated,4,0.519908739,19.92201788,38.31829782,75.36190036
Salsola nollothensis,Shrub,Vegetated,14,0.330697587,16.14321006,48.81562697,81.94733195
Ectadium rotundifolium ,Shrub,Unvegetated,14,NA,NA,NA,NA
Arthraerua leubnitziae ,Shrub,Unvegetated,4,0.483286409,20.26225726,41.9259819,60.29239766
Ectadium rotundifolium ,Shrub,Vegetated,4,0.339156645,17.78413615,52.43634892,42.74674675
Salsola nollothensis,Shrub,Vegetated,4,0.491729898,19.43533545,39.52441273,92.54254254
Ectadium rotundifolium ,Shrub,Unvegetated,4,0.576873332,20.30956741,35.20628585,55.27101175
Arthraerua leubnitziae ,Shrub,Unvegetated,8,0.318077445,18.44900773,58.00162198,50.52552553
Arthraerua leubnitziae ,Shrub,Unvegetated,14,0.409302552,18.65244716,45.57129453,77.996997
Salsola nollothensis,Shrub,Unvegetated,4,0.508794012,16.77780365,32.97563109,64.24664665
Arthraerua leubnitziae ,Shrub,Unvegetated,14,0.776564796,20.70052294,26.65653019,93.92854393
Salsola nollothensis,Shrub,Unvegetated,8,0.615784235,22.69542508,36.85613205,68.89466389
Ectadium rotundifolium ,Shrub,Unvegetated,8,0.440655647,15.9774974,36.25846507,53.36576577
Salsola nollothensis,Shrub,Unvegetated,8,0.496099256,18.9413668,38.18059907,71.93293293
Ectadium rotundifolium ,Shrub,Vegetated,8,0.405346512,14.98243195,36.96203498,49.91181181
Ectadium rotundifolium ,Shrub,Vegetated,14,0.660127313,20.54215175,31.11846963,71.66374708
Ectadium rotundifolium ,Shrub,Vegetated,8,0.393655527,18.19383179,46.21764594,55.91691692
Arthraerua leubnitziae ,Shrub,Vegetated,4,0.5938784,20.56324874,34.62535215,60.96825993
Ectadium rotundifolium ,Shrub,Unvegetated,4,0.746097382,23.41887388,31.38849492,75.26966967
Salsola nollothensis,Shrub,Unvegetated,4,0.384975857,15.69116459,40.7588276,52.62702703
Ectadium rotundifolium ,Shrub,Vegetated,4,0.564828075,22.13649837,39.19156883,49.45315315
Arthraerua leubnitziae ,Shrub,Vegetated,4,0.511214873,19.37273428,37.89548254,37.78598599
