Species,Litter_substrate,microsite,Month,initial_mass,Crucible_mass,Sample_cruc_mass,Ash_cruc_mass,nitrogen,carbon,C_N,Ash_free_mass_remaining
Arthraerua leubnitziae ,Shrub,Vegetated,14,6.5305,17.13,17.38,17.29,0.483443102,17.46530357,36.12690613,58.83333333
Salsola nollothensis,Shrub,Unvegetated,4,4.0205,17.18,17.44,17.26,0.472552611,18.70411478,39.58102091,69.65523216
Salsola nollothensis,Shrub,Unvegetated,8,5.907,18.82,19.09,18.99,0.49270265,18.43978444,37.42578701,54.74919364
Arthraerua leubnitziae ,Shrub,Unvegetated,8,3.8704,39.43,39.68,39.5,0.470869057,15.40016753,32.70583892,69.73693694
Arthraerua leubnitziae ,Shrub,Unvegetated,8,3.765,19.12,19.36,19.19,0.568515199,17.40971255,30.62312598,63.61313236
Ectadium rotundifolium ,Shrub,Vegetated,4,4.285,17.14,17.39,17.28,0.342971551,13.05380023,38.06088344,47.18218218
Salsola nollothensis,Shrub,Unvegetated,4,4.0395,17.18,17.44,17.26,0.441669914,13.28656485,30.08256715,30.35135135
Arthraerua leubnitziae ,Shrub,Vegetated,14,5.6345,17.25,17.51,17.4,0.687731878,19.04390122,27.69088043,59.65532841
Arthraerua leubnitziae ,Shrub,Unvegetated,4,4.6885,19.12,19.36,19.19,0.50995908,23.94854731,46.96170387,83.10862946
Arthraerua leubnitziae ,Shrub,Vegetated,4,4.19,17.18,17.43,17.32,0.382745518,14.26853413,37.27942836,46.13613614
Arthraerua leubnitziae ,Shrub,Vegetated,8,4.1808,17.64,17.89,17.69,0.333133281,15.19714851,45.61882394,57.9987988
Arthraerua leubnitziae ,Shrub,Vegetated,8,NA,NA,NA,NA,NA,NA,NA,NA
Arthraerua leubnitziae ,Shrub,Unvegetated,14,3.9913,17.65,17.91,17.7,0.462977397,17.33352842,37.43925415,80.67423192
Salsola nollothensis,Shrub,Vegetated,4,4.1395,17.65,17.9,17.74,0.61639127,19.8178072,32.15134307,66.2982983
Arthraerua leubnitziae ,Shrub,Vegetated,8,4.9055,62.11,62.36,62.26,0.589454404,15.37588221,26.08493908,49.1041041
Arthraerua leubnitziae ,Shrub,Unvegetated,8,4.0132,17.24,17.5,17.28,0.530687841,16.18806227,30.50392533,66.55655656
Ectadium rotundifolium ,Shrub,Unvegetated,4,5.8259,17.42,17.67,17.58,0.462346064,16.22113607,35.08440394,52.48558559
Ectadium rotundifolium ,Shrub,Unvegetated,8,4.4092,17.24,17.49,17.37,0.41683749,11.19443935,26.85564425,52.96336336
Ectadium rotundifolium ,Shrub,Unvegetated,8,4.808,18.09,18.34,18.23,0.510643024,15.16423073,29.69634365,52.94094094
Arthraerua leubnitziae ,Shrub,Unvegetated,8,4.0139,38.29,38.54,38.4,0.373854248,17.03940046,45.57765643,56.25085085
Arthraerua leubnitziae ,Shrub,Vegetated,14,3.9052,17.24,17.5,17.29,0.567147311,19.42102568,34.24335318,78.93393393
Salsola nollothensis,Shrub,Vegetated,4,4.245,19.12,19.37,19.19,0.466923227,16.51599207,35.37196506,76.48648649
Salsola nollothensis,Shrub,Vegetated,8,4.0102,17.24,17.5,17.28,0.550785269,20.25811509,36.78042285,67.6544814
Arthraerua leubnitziae ,Shrub,Vegetated,4,4.3776,62.19,62.35,62.25,0.288834762,12.920673,44.73378793,68.46846847
Salsola nollothensis,Shrub,Vegetated,4,4.0678,51.97,52.12,52.01,0.436619252,16.33954649,37.42287228,74.65098432
Arthraerua leubnitziae ,Shrub,Vegetated,14,3.9144,17.64,17.89,17.69,0.255321512,9.060191555,35.48542182,78.36636637
Ectadium rotundifolium ,Shrub,Unvegetated,4,4.196,16.38,16.63,16.49,0.263160561,10.69058401,40.62380762,58.8028028
Arthraerua leubnitziae ,Shrub,Vegetated,4,4.6295,58.39,58.64,58.52,0.482759158,17.82641116,36.92609629,55.60960961
Ectadium rotundifolium ,Shrub,Unvegetated,8,4.1972,17.24,17.49,17.34,0.519166017,19.48238901,37.52631791,72.03453453
Ectadium rotundifolium ,Shrub,Unvegetated,4,3.908,42.43,42.68,42.46,0.445931411,14.3177288,32.10746867,86.06206206
Arthraerua leubnitziae ,Shrub,Vegetated,14,6.5305,36.43,36.69,36.61,0.380863331,15.80477005,41.49722163,50.28490028
Arthraerua leubnitziae ,Shrub,Vegetated,8,4.2572,17.24,17.49,17.33,0.538940347,18.70825616,34.7130369,77.92832833
Salsola nollothensis,Shrub,Vegetated,4,4.026,19.13,19.37,19.15,0.479851341,18.24561137,38.02346647,92.35485485
Arthraerua leubnitziae ,Shrub,Vegetated,4,4.8949,16.67,16.92,16.82,0.684612217,18.7306899,27.35956128,48.997998
Salsola nollothensis,Shrub,Unvegetated,8,5.0224,16.67,16.94,16.83,0.33260984,14.94387548,44.92914418,51.20527935
Salsola nollothensis,Shrub,Unvegetated,8,4.0773,19.12,19.38,19.22,0.591193865,22.38065853,37.85671651,62.79048279
Salsola nollothensis,Shrub,Unvegetated,8,4.0666,17.12,17.38,17.25,0.580307715,16.25313883,28.0077938,50.88338338
Arthraerua leubnitziae ,Shrub,Vegetated,8,4.2872,17.24,17.49,17.33,0.515750317,18.34997922,35.57919133,68.66386386
Arthraerua leubnitziae ,Shrub,Vegetated,8,4.8282,17.65,17.89,17.78,0.540965677,19.25676097,35.59701064,55.3785035
Salsola nollothensis,Shrub,Unvegetated,8,4.2817,20.15,20.4,20.29,0.393622911,12.507164,31.77448178,47.14584585
Arthraerua leubnitziae ,Shrub,Unvegetated,8,3.7786,51.7,52.06,51.85,0.533775755,13.88811333,26.01862896,76.6036036
Arthraerua leubnitziae ,Shrub,Vegetated,8,4.5504,16.32,16.56,16.45,0.369470849,11.34825766,30.7148932,52.19219219
Arthraerua leubnitziae ,Shrub,Unvegetated,8,3.6586,51.8,52.05,51.86,0.413774945,13.9021854,33.59842242,69.58298298
Ectadium rotundifolium ,Shrub,Vegetated,8,4.0034,17.18,17.44,17.28,0.432357349,18.37873519,42.50820582,61.65242165
Salsola nollothensis,Shrub,Vegetated,4,4.1395,17.98,18.26,18.06,0.315647701,12.24377156,38.78935769,73.99363649
Arthraerua leubnitziae ,Shrub,Vegetated,14,5.8244,19.12,19.38,19.27,0.379901299,17.4133708,45.83656557,61.66589667
Salsola nollothensis,Shrub,Vegetated,8,4.8861,58.39,58.64,58.54,0.510940158,17.98971384,35.20904267,48.90990991
Ectadium rotundifolium ,Shrub,Unvegetated,4,4.1618,53.59,53.85,53.72,0.511142018,19.02327716,37.21720481,52.07457457
Ectadium rotundifolium ,Shrub,Unvegetated,8,2.6749,18,18.25,18.01,0.314711214,13.82285093,43.92233361,64.26186186
Ectadium rotundifolium ,Shrub,Vegetated,14,3.4521,20.15,20.42,20.17,0.370218152,14.0261582,37.88619793,79.98971193
