Date,Month,Fire_block,Last_burn,Fire_interval,Patch_type,point ,CO_machine,CO_Notebook,C2avg, Cycle,Delta,VWC,GWC,GWC1,Tsoil
4/4/15,April,2B,15,9.3,Bare,4,4.092495315,4.09,390,3,10,5,NA,3.92,23.59102478
4/4/15,April,2B,15,9.3,Bare,4,3.929128559,3.93,390,3,10,5,NA,3.92,23.66468201
4/4/15,April,2B,15,9.3,Bare,4,3.821378405,3.82,390,3,10,5,NA,3.92,23.75568695
4/4/15,April,2B,15,9.3,Grass,4,3.491155432,3.49,390,3,10,4,NA,2.804,22.36085815
4/4/15,April,2B,15,9.3,Grass,4,3.764403291,3.76,390,3,10,4,NA,2.804,22.45843048
4/4/15,April,2B,15,9.3,Grass,4,3.466416165,3.47,390,3,10,4,NA,2.804,22.50184021
4/4/15,April,2B,15,9.3,Shrub,4,9.840306126,9.84,390,3,10,3,NA,1.688,22.62101135
4/4/15,April,2B,15,9.3,Shrub,4,9.074639857,9.07,390,3,10,3,NA,1.688,22.62017365
4/4/15,April,2B,15,9.3,Shrub,4,8.780564353,8.78,390,3,10,3,NA,1.688,22.63883514
4/4/15,April,2B,15,9.3,Bare,6,7.798289163,7.8,390,3,10,4,2.54,2.54,24.84542847
4/4/15,April,2B,15,9.3,Bare,6,7.34988059,7.35,390,3,10,4,2.54,2.54,24.88579559
4/4/15,April,2B,15,9.3,Bare,6,7.614389808,7.61,390,3,10,4,2.54,2.54,24.89127502
4/4/15,April,2B,15,9.3,Shrub,6,7.15240928,7.15,390,3,10,4,2.65,2.65,23.30617218
4/4/15,April,2B,15,9.3,Shrub,6,6.382344214,6.38,390,3,10,4,2.65,2.65,23.27551575
4/4/15,April,2B,15,9.3,Shrub,6,6.555999136,6.56,390,3,10,4,2.65,2.65,23.24585266
4/4/15,April,2B,15,9.3,Grass,6,5.608129822,5.61,390,3,10,4,2.2,2.2,23.13746338
4/4/15,April,2B,15,9.3,Grass,6,5.305069774,5.31,390,3,10,4,2.2,2.2,23.13648071
4/4/15,April,2B,15,9.3,Grass,6,5.391425357,5.39,390,3,10,4,2.2,2.2,23.10469971
3/4/15,April,1A,3,9.3,Bare,1,7.500739874,7.5,390,3,10,4,3.38,3.38,33.4637085
3/4/15,April,1A,3,9.3,Bare,1,7.322076518,7.32,390,3,10,4,3.38,3.38,33.57449036
3/4/15,April,1A,3,9.3,Bare,1,7.122846686,7.12,390,3,10,4,3.38,3.38,33.59764404
3/4/15,April,1A,3,9.3,Shrub,1,10.60221102,10.6,390,3,10,4,4.31,4.31,24.73323822
3/4/15,April,1A,3,9.3,Shrub,1,10.70143585,10.7,390,3,10,4,4.31,4.31,24.60926514
3/4/15,April,1A,3,9.3,Shrub,1,10.72317799,10.72,390,3,10,4,4.31,4.31,24.42395782
3/4/15,April,1A,3,9.3,Grass,1,12.37482294,12.374,390,3,10,4,3.94,3.94,26.87862244
3/4/15,April,1A,3,9.3,Grass,1,13.229256,13.22,390,3,10,4,3.94,3.94,26.95102539
3/4/15,April,1A,3,9.3,Grass,1,13.6027747,13.6,390,3,10,4,3.94,3.94,27.04850769
3/4/15,April,1A,3,9.3,Bare,2,5.81662127,5.81,390,3,10,4,NA,2.804,33.57843018
3/4/15,April,1A,3,9.3,Bare,2,6.015060181,6.01,390,3,10,4,NA,2.804,33.3478363
3/4/15,April,1A,3,9.3,Bare,2,6.012728542,6.01,390,3,10,4,NA,2.804,33.208078
3/4/15,April,1A,3,9.3,Shrub,2,29.65608369,29.65,390,3,10,3,NA,1.688,22.3508194
3/4/15,April,1A,3,9.3,Shrub,2,27.02171377,27.02,390,3,10,3,NA,1.688,21.98304443
3/4/15,April,1A,3,9.3,Shrub,2,29.75377209,29.75,390,3,10,3,NA,1.688,21.92103119
3/4/15,April,1A,3,9.3,Grass,2,9.184932598,9.18,390,3,10,3,NA,1.688,22.04555664
3/4/15,April,1A,3,9.3,Grass,2,9.973481213,9.97,390,3,10,3,NA,1.688,30.87350769
3/4/15,April,1A,3,9.3,Grass,2,10.3,10.3,390,3,10,3,NA,1.688,30.93606873
4/4/15,April,1A,3,9.3,Bare,3,4.217288836,4.22,390,3,10,4,2.64,2.64,30.66872253
4/4/15,April,1A,3,9.3,Bare,3,4.018005039,4.02,390,3,10,4,2.64,2.64,30.6713623
4/4/15,April,1A,3,9.3,Bare,3,4.073048484,4.07,390,3,10,4,2.64,2.64,30.69649963
4/4/15,April,1A,3,9.3,Grass,3,18.67441932,18.7,390,3,10,4,3,3,26.76142578
4/4/15,April,1A,3,9.3,Grass,3,16.29148768,16.3,390,3,10,4,3,3,26.71820374
4/4/15,April,1A,3,9.3,Grass,3,17.06158855,17.1,390,3,10,4,3,3,26.75103149
4/4/15,April,1A,3,9.3,Shrub,3,5.094516627,5.09,390,3,10,4,3.17,3.17,25.38173523
4/4/15,April,1A,3,9.3,Shrub,3,4.961528847,4.96,390,3,10,4,3.17,3.17,25.37485657
4/4/15,April,1A,3,9.3,Shrub,3,4.615575289,4.61,390,3,10,4,3.17,3.17,25.36146393
4/4/15,April,1A,3,9.3,Bare,4,4.65,4.65,390,3,10,4,NA,2.804,31.14
4/4/15,April,1A,3,9.3,Bare,4,4.52,4.52,390,3,10,4,NA,2.804,31.09
4/4/15,April,1A,3,9.3,Bare,4,4.48,4.48,390,3,10,4,NA,2.804,31.07
4/4/15,April,1A,3,9.3,Grass,4,5.18,5.18,390,3,10,4,NA,2.804,27.15
4/4/15,April,1A,3,9.3,Grass,4,4.85,4.85,390,3,10,4,NA,2.804,27.12
4/4/15,April,1A,3,9.3,Grass,4,4.83,4.83,390,3,10,4,NA,2.804,27.08
4/4/15,April,1A,3,9.3,Shrub,4,5.7,5.7,390,3,10,4,NA,2.804,22.08
4/4/15,April,1A,3,9.3,Shrub,4,5.28,5.28,390,3,10,4,NA,2.804,22.79
4/4/15,April,1A,3,9.3,Shrub,4,5.11,5.11,390,3,10,4,NA,2.804,22.79
4/4/15,April,1A,3,9.3,Bare,5,3.419515019,3.42,390,3,10,4,3.13,3.13,30.71753845
4/4/15,April,1A,3,9.3,Bare,5,3.66755443,3.67,390,3,10,4,3.13,3.13,30.68905945
4/4/15,April,1A,3,9.3,Bare,5,3.21620237,3.22,390,3,10,4,3.13,3.13,30.60487366
4/4/15,April,1A,3,9.3,Shrub,5,5.677176623,5.68,390,3,10,4,3.01,3.01,22.85505829
4/4/15,April,1A,3,9.3,Shrub,5,5.415599314,5.45,390,3,10,4,3.01,3.01,22.82521515
4/4/15,April,1A,3,9.3,Shrub,5,5.001357936,5,390,3,10,4,3.01,3.01,22.7886673
4/4/15,April,1A,3,9.3,Grass,5,5.84783651,5.84,390,3,10,4,3.19,3.19,27.63194885
4/4/15,April,1A,3,9.3,Grass,5,5.872566506,5.87,390,3,10,4,3.19,3.19,27.57066345
4/4/15,April,1A,3,9.3,Grass,5,6.093146816,6.09,390,3,10,4,3.19,3.19,27.59606323
4/4/15,April,1A,3,9.3,Bare,6,5.19,5.19,390,3,10,4,NA,2.804,32.68
4/4/15,April,1A,3,9.3,Bare,6,4.82,4.82,390,3,10,4,NA,2.804,32.65
4/4/15,April,1A,3,9.3,Bare,6,4.77,4.77,390,3,10,4,NA,2.804,32.64
4/4/15,April,1A,3,9.3,Grass,6,5.76,5.76,390,3,10,4,NA,2.804,29.76
4/4/15,April,1A,3,9.3,Grass,6,4.66,4.66,390,3,10,4,NA,2.804,29.66
4/4/15,April,1A,3,9.3,Grass,6,4.49,4.49,390,3,10,4,NA,2.804,29.6
4/4/15,April,1A,3,9.3,Shrub,6,5.66,5.66,390,3,10,4,NA,2.804,23.04
4/4/15,April,1A,3,9.3,Shrub,6,5.62,5.62,390,3,10,4,NA,2.804,23.11
4/4/15,April,1A,3,9.3,Shrub,6,5.46,5.46,390,3,10,4,NA,2.804,23.12
6/4/15,April,1A,3,9.3,Bare,7,3.9,3.9,390,3,10,4,2.73,2.73,26.2
6/4/15,April,1A,3,9.3,Bare,7,3.69,3.69,390,3,10,4,2.73,2.73,26.87
6/4/15,April,1A,3,9.3,Bare,7,3.65,3.65,390,3,10,4,2.73,2.73,26.82
6/4/15,April,1A,3,9.3,Bare,7,3.6,3.6,390,3,10,4,2.73,2.73,26.83
6/4/15,April,1A,3,9.3,Bare,7,3.31,3.31,390,3,10,4,2.73,2.73,26.81
6/4/15,April,1A,3,9.3,Grass,7,4.42,4.42,390,3,10,3,2.42,2.42,24.9
6/4/15,April,1A,3,9.3,Grass,7,4.46,4.46,390,3,10,3,2.42,2.42,25.1
6/4/15,April,1A,3,9.3,Grass,7,4.44,4.44,390,3,10,3,2.42,2.42,25.14
6/4/15,April,1A,3,9.3,Grass,7,4.37,4.37,390,3,10,3,2.42,2.42,25.26
6/4/15,April,1A,3,9.3,Grass,7,4.34,4.34,390,3,10,3,2.42,2.42,25.36
6/4/15,April,1A,3,9.3,Shrub,7,4.22,4.22,390,3,10,4,3.21,3.21,20.12
6/4/15,April,1A,3,9.3,Shrub,7,4.41,4.41,390,3,10,4,3.21,3.21,20.21
6/4/15,April,1A,3,9.3,Shrub,7,4.47,4.47,390,3,10,4,3.21,3.21,20.29
6/4/15,April,1A,3,9.3,Shrub,7,4.49,4.49,390,3,10,4,3.21,3.21,20.41
6/4/15,April,1A,3,9.3,Shrub,7,4.44,4.44,390,3,10,4,3.21,3.21,20.5
6/4/15,April,1A,3,9.3,Bare,8,3.03,3.03,390,3,10,4,NA,2.804,25.39
6/4/15,April,1A,3,9.3,Bare,8,2.52,2.52,390,3,10,4,NA,2.804,25.52
