"term","estimate","std.error","statistic","p.value","unique_hummock"
"(Intercept)",4.52988082724016,0.108689716609406,41.6771794844126,0.0152720902202297,"1"
"Year",-0.273879428727933,0.140101780894428,-1.95486043774356,0.301020099227565,"1"
"(Intercept)",4.43842062820961,0.0871266437545624,50.9421737937334,1.66585113698105e-05,"2"
"Year",0.0131923246852808,0.1368125089084,0.096426304806043,0.929262576694517,"2"
"(Intercept)",4.55476793746889,0.238199158801318,19.1216793560049,0.0332627871520762,"3"
"Year",-0.155596801918776,0.307040329082348,-0.50676340265726,0.701397519023561,"3"
"(Intercept)",4.52252606987618,0.11806522772404,38.305317806585,0.000680829183660995,"4"
"Year",-0.38265914737257,0.17056059791189,-2.24353779276881,0.154041960023906,"4"
"(Intercept)",4.69809616236409,0.271325705766142,17.3153374800891,0.036725441148159,"5"
"Year",-1.39671201542425,0.630503963898144,-2.21523114111601,0.269948623327528,"5"
"(Intercept)",4.38781100011851,0.495813281841024,8.84972460565386,0.0716328256278119,"6"
"Year",-0.444218682947264,1.15216595003924,-0.38555095551308,0.765731190223375,"6"
"(Intercept)",4.45950372184102,0.227423839379434,19.6087786311653,0.0324379578791616,"7"
"Year",-0.888177759823069,0.528485245468258,-1.68061032439252,0.34170637270924,"7"
"(Intercept)",4.4371650098929,0.452823446158206,9.79888529964204,0.064744447348698,"8"
"Year",-0.259367937277007,0.583692489193835,-0.444357160797515,0.733796524895705,"8"
"(Intercept)",4.58891102578103,0.0461399541826727,99.4563411921277,0.00640078161681645,"9"
"Year",-0.51878797682361,0.107219564486559,-4.83855702369176,0.129745512320916,"9"
"(Intercept)",4.73042203504013,0.345259995755404,13.7010429623921,0.00528493031885298,"10"
"Year",-1.27260293335246,0.690519991510809,-1.84296320019366,0.206658751613948,"10"
NA,NA,NA,NA,NA,"11"
"(Intercept)",4.66805782922566,0.0662582770719977,70.4524481394717,0.00903555577323958,"12"
"Year",-0.742748187027851,0.0854073679310702,-8.69653526411563,0.0728837338990639,"12"
NA,NA,NA,NA,NA,"13"
NA,NA,NA,NA,NA,"14"
NA,NA,NA,NA,NA,"15"
"(Intercept)",4.12456314744763,0.716788599837814,5.75422537186122,0.109541162269736,"16"
"Year",-0.421161358662057,0.896764529387837,-0.469645425148067,0.72047908485895,"16"
"(Intercept)",4.45930639058872,NA,NA,NA,"17"
"Year",-0.368101444756945,NA,NA,NA,"17"
NA,NA,NA,NA,NA,"18"
"(Intercept)",4.60954544058727,0.0194919980927911,236.483987872544,0.00269200457768053,"19"
"Year",-0.700355579473321,0.0358090870459808,-19.5580406329272,0.032521963164875,"19"
"(Intercept)",4.64340284579277,NA,NA,NA,"20"
